Route_of_administration_intramuscular,Route_of_administration_intratracheal,Route_of_administration_intravenous,Model_type_A549,Model_type_BDMC,Model_type_BMDM,Model_type_HBEC_ALI,Model_type_HEK293T,Model_type_HeLa,Model_type_IGROV1,Model_type_Mouse,Model_type_RAW264p7,Cargo_type_mRNA,Cargo_type_pDNA,Cargo_type_siRNA,size,PDI
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76.23,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,76.18,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,129.7,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,177.2,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,75.78,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,124.8,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100.8,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,85.9,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,191.8,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,130.1,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,70.83,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,81.52,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,77.88,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,75.05,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,91.73,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,132.5,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,179.5,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,71.48,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,95.77,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,119,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,83.33,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,69.92,0.2 ~ 0.3
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,118.7,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,99.27,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,119.7,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,108.3,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,97.83,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,68.31,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,144.4,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,78.51,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,78.66,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,71.83,0.0 ~ 0.2
