smiles,Amine,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,Delivery_target,Biodistribution_lymph_nodes,Biodistribution_heart,Biodistribution_liver,Biodistribution_spleen,Biodistribution_lung,Biodistribution_kidney,Biodistribution_muscle,quantified_total_luminescence,quantified_delivery,toxic
O=C(CN(CCC(OCCCCCCCC)=O)CCC(OCCCCCCCC)=O)NCCCN(CCC(OCCCCCCCC)=O)CCC(OCCCCCCCC)=O,gly,1,0,0,body,,,,,,,,,,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,,0.000231298468169262,0.195828728849491,0.0126185833117857,0.0005049221714932,0.0010931535206324,0.789723313678428,1,0.678754151,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,,0.00515447939315304,0.962574355010024,0.0304157301451643,0.0009180388433166,0.0009373966083424,,1,0.678754151,0.0
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,1,0,body,,,,,,,,,,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,1,0,body,,,,,,,,,,
C=CCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,0,1,0,body,0.0963955724315343,0.000259669027359828,0.0209585518067849,0.0324510369422159,0.0019102182444588,0.0052697002036358,0.84275525134401,0.95415067884307,0.608458431,
C=CCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,0,1,0,body,,0.00301852406237983,0.561715155652109,0.427466534539213,0.0067538293088514,0.0010459564374461,,0.469108231863161,-0.135203798,
O=C(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCCCC)=O)CCCCCCOC(CCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCC)=O)CCCCCCCC,ser,0,1,0,body,0.0043119809723581,0.000818950238891083,0.0696322838846972,0.0220758004851341,0.0017715715150232,0.0025520841595145,0.898837328744382,0.673380628639453,0.177984598,
O=C(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCCCC)=O)CCCCCCOC(CCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCC)=O)CCCCCCCC,ser,0,1,0,body,,0.00336772556852765,0.856457049453334,0.133858740361315,0.0048374993964513,0.0014789852203714,,0.274077344076178,-0.434223204,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,0.0465123735855303,0.000498926332937811,0.165458883776434,0.0565565738614754,0.0010629468099716,0.0024784064180894,0.727431889215561,1,0.678754151,0.0
