d_model,num_heads,dropout,weight_decay,cross_attention_layers,learning_rate,classification_dropout,regression_dropout,label_smoothing,early_stopping_patience,token_weight_init_strategy,trial,config_path,avg_rmse,avg_auc,avg_pr_auc
64,4,0.18577918498419968,3.66379750101514e-05,2,0.00041837529781408916,0.23899642362818146,0.20374295484936117,0.05,25,chem_focused,15,hyperparam_search_v3/config_trial_15.json,0.3903598878532648,0.8487124397629305,0.579318601106734
128,8,0.2546326682801352,0.00027984371372477877,2,0.0001126375579262374,0.20566962088243768,0.22308579052469824,0.0,20,balanced,16,hyperparam_search_v3/config_trial_16.json,0.357008867793613,0.860200317512438,0.6304502397773516
128,8,0.18830415738949896,4.3271175513732765e-05,4,0.000234600462729857,0.11544907872101765,0.23292515006915057,0.05,30,chem_focused,17,hyperparam_search_v3/config_trial_17.json,0.35649940330121255,0.8708688205321203,0.6041781116941051
256,2,0.2365250987985752,0.00012982890053914268,4,0.0004335048809035687,0.2125204429159016,0.2999152501227984,0.05,30,balanced,18,hyperparam_search_v3/config_trial_18.json,0.35592943243682384,0.8609859713560298,0.5688620866737182
128,8,0.30224994333497124,0.00013099960685150025,2,0.0001660449493613165,0.20134490067101968,0.20603202060458484,0.05,25,balanced,19,hyperparam_search_v3/config_trial_19.json,0.3840738015456332,0.8966046098212385,0.6248837784297272
256,2,0.3404555899140797,0.00031452956063736896,4,0.0003612909117914978,0.15680214130081122,0.27777664181721207,0.0,30,chem_focused,20,hyperparam_search_v3/config_trial_20.json,0.3831930241237084,0.8833930417231671,0.6245429741977809
128,2,0.285968435884962,2.7712361518978743e-05,2,0.00036395284364259216,0.12352214079604137,0.326928168532152,0.05,20,chem_focused,21,hyperparam_search_v3/config_trial_21.json,0.37880247872736716,0.8093199514345933,0.5794649271178913
128,2,0.24633621235267317,0.0002160636373040436,4,0.00040101538022624476,0.22700634785614604,0.33399652757182663,0.0,30,balanced,22,hyperparam_search_v3/config_trial_22.json,0.37568601303630406,0.8820512125284435,0.6332348616708249
256,2,0.1869976978979405,0.0003930229578046051,3,0.00014947041346774365,0.20293331278562005,0.22507088046500845,0.0,25,balanced,23,hyperparam_search_v3/config_trial_23.json,0.37863808559874695,0.8869759270896851,0.6134096645936638
256,2,0.160570923983853,0.00016556923022741804,2,0.00021247535928382608,0.21097614853141555,0.3494683587633645,0.05,25,balanced,24,hyperparam_search_v3/config_trial_24.json,0.37646511548923123,0.88061700804613,0.6264533131300095
